LIMS Auftrag;Probe;Probenahmedatum;Probenahmezeit;Gauss Hoch;Gauss Rechts;Entnahmestelle;Externe Bezeichnung;Anzeigewert;Einheit
2014-2405;0007;08.07.2014;12:00:00;373059,55;5658958,10;Entnahmeturm (4);Desmethylmicrocystin-LR;< 50;ng/l
2014-2743;0001;05.08.2014;11:00:00;373059,55;5658958,10;Entnahmeturm (6);Desmethylmicrocystin-LR;< 50;ng/l
2014-2405;0009;08.07.2014;12:00:00;373059,55;5658958,10;Entnahmeturm (6);Desmethylmicrocystin-LR;220;ng/l
2014-2405;0008;08.07.2014;12:00:00;373059,55;5658958,10;Entnahmeturm (5);Desmethylmicrocystin-LR;210;ng/l
2014-2743;0001;05.08.2014;11:00:00;373059,55;5658958,10;Entnahmeturm (6);Desmethylmicrocystin-RR;320;ng/l
2014-2405;0007;08.07.2014;12:00:00;373059,55;5658958,10;Entnahmeturm (4);Desmethylmicrocystin-RR;850;ng/l
2014-2405;0009;08.07.2014;12:00:00;373059,55;5658958,10;Entnahmeturm (6);Desmethylmicrocystin-RR;4800;ng/l
2014-2405;0008;08.07.2014;12:00:00;373059,55;5658958,10;Entnahmeturm (5);Desmethylmicrocystin-RR;7700;ng/l
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);2,4,5-T;< 0,05;µg/l
2014-4013;0001;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;2,4,5-T;< 0,05;µg/l
2014-1668;0002;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;2,4,5-T;< 0,05;µg/l
2014-1416;0003;15.04.2014;15:50:00;379087,89;5664390,59;Knochenmühle;2,4,5-T;< 0,05;µg/l
2014-4138;0006;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;2,4,5-T;< 0,05;µg/l
2014-4136;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);2,4,5-T;< 0,05;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;2,4,5-T;< 0,05;µg/l
2014-1416;0004;15.04.2014;16:15:00;379828,79;5661338,53;Neumühle;2,4,5-T;< 0,05;µg/l
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);2,4,5-T;< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;2,4,5-T;< 0,05;µg/l
2014-1667;0001;13.05.2014;08:40:00;373881,03;5659471,38;Engerfeld (11);2,4,5-T;< 0,05;µg/l
2014-1668;0001;12.05.2014;09:50:00;379710,6;5661021,29;Zulauf Große Dhünn 17;2,4,5-T;< 0,05;µg/l
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;2,4,5-T;< 0,05;µg/l
2014-1668;0003;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;2,4,5-T;< 0,05;µg/l
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);2,4,5-T;< 0,05;µg/l
2014-1667;0004;13.05.2014;09:40:00;373335,71;5657290,6;Große Heide (14);2,4,5-T;< 0,05;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);2,4,5-T;< 0,05;µg/l
2014-1416;0001;15.04.2014;16:00:00;378103,66;5663206,22;Dhünnsche Mühle;2,4,5-T;< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;2,4,5-T;< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;2,4,5-T;< 0,05;µg/l
2014-4013;0002;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;2,4,5-T;< 0,05;µg/l
2014-1416;0006;15.04.2014;16:30:00;380443,57;5661900,45;Purder Bach;2,4,5-T;< 0,05;µg/l
2014-4136;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);2,4,5-T;< 0,05;µg/l
2014-1416;0005;15.04.2014;16:20:00;381231,49;5661929,47;Boxberg;2,4,5-T;< 0,05;µg/l
2014-4138;0004;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;2,4,5-T;< 0,05;µg/l
2014-4138;0001;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;2,4,5-T;< 0,05;µg/l
2014-4013;0001;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;2,4-D;< 0,05;µg/l
2014-4138;0006;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;2,4-D;< 0,05;µg/l
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);2,4-D;< 0,05;µg/l
2014-1667;0004;13.05.2014;09:40:00;373335,71;5657290,6;Große Heide (14);2,4-D;< 0,05;µg/l
2014-1416;0006;15.04.2014;16:30:00;380443,57;5661900,45;Purder Bach;2,4-D;< 0,05;µg/l
2014-1416;0003;15.04.2014;15:50:00;379087,89;5664390,59;Knochenmühle;2,4-D;< 0,05;µg/l
2014-4138;0001;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;2,4-D;< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;2,4-D;< 0,05;µg/l
2014-4138;0004;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;2,4-D;< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;2,4-D;< 0,05;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);2,4-D;< 0,05;µg/l
2014-1667;0001;13.05.2014;08:40:00;373881,03;5659471,38;Engerfeld (11);2,4-D;< 0,05;µg/l
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;2,4-D;< 0,05;µg/l
2014-1668;0001;12.05.2014;09:50:00;379710,6;5661021,29;Zulauf Große Dhünn 17;2,4-D;< 0,05;µg/l
2014-1416;0004;15.04.2014;16:15:00;379828,79;5661338,53;Neumühle;2,4-D;< 0,05;µg/l
2014-1416;0001;15.04.2014;16:00:00;378103,66;5663206,22;Dhünnsche Mühle;2,4-D;< 0,05;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;2,4-D;< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;2,4-D;< 0,05;µg/l
2014-1668;0003;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;2,4-D;< 0,05;µg/l
2014-1416;0005;15.04.2014;16:20:00;381231,49;5661929,47;Boxberg;2,4-D;< 0,05;µg/l
2014-4136;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);2,4-D;< 0,05;µg/l
2014-4013;0002;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;2,4-D;< 0,05;µg/l
2014-4136;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);2,4-D;< 0,05;µg/l
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);2,4-D;< 0,05;µg/l
2014-1668;0002;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;2,4-D;< 0,05;µg/l
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);2,4-D;< 0,05;µg/l
2014-1416;0006;15.04.2014;16:30:00;380443,57;5661900,45;Purder Bach;2,4-DB;< 0,05;µg/l
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);2,4-DB;< 0,05;µg/l
2014-1668;0003;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;2,4-DB;< 0,05;µg/l
2014-4136;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);2,4-DB;< 0,05;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);2,4-DB;< 0,05;µg/l
2014-1416;0004;15.04.2014;16:15:00;379828,79;5661338,53;Neumühle;2,4-DB;< 0,05;µg/l
2014-1667;0001;13.05.2014;08:40:00;373881,03;5659471,38;Engerfeld (11);2,4-DB;< 0,05;µg/l
2014-4138;0004;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;2,4-DB;< 0,05;µg/l
2014-1416;0005;15.04.2014;16:20:00;381231,49;5661929,47;Boxberg;2,4-DB;< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;2,4-DB;< 0,05;µg/l
2014-4013;0002;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;2,4-DB;< 0,05;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;2,4-DB;< 0,05;µg/l
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);2,4-DB;< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;2,4-DB;< 0,05;µg/l
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;2,4-DB;< 0,05;µg/l
2014-1668;0002;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;2,4-DB;< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;2,4-DB;< 0,05;µg/l
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);2,4-DB;< 0,05;µg/l
2014-1416;0003;15.04.2014;15:50:00;379087,89;5664390,59;Knochenmühle;2,4-DB;< 0,05;µg/l
2014-4138;0006;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;2,4-DB;< 0,05;µg/l
2014-1668;0001;12.05.2014;09:50:00;379710,6;5661021,29;Zulauf Große Dhünn 17;2,4-DB;< 0,05;µg/l
2014-4013;0001;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;2,4-DB;< 0,05;µg/l
2014-1416;0001;15.04.2014;16:00:00;378103,66;5663206,22;Dhünnsche Mühle;2,4-DB;< 0,05;µg/l
2014-4138;0001;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;2,4-DB;< 0,05;µg/l
2014-1667;0004;13.05.2014;09:40:00;373335,71;5657290,6;Große Heide (14);2,4-DB;< 0,05;µg/l
2014-4136;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);2,4-DB;< 0,05;µg/l
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4138;0004;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4013;0001;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1416;0005;15.04.2014;16:20:00;381231,49;5661929,47;Boxberg;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4136;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1416;0004;15.04.2014;16:15:00;379828,79;5661338,53;Neumühle;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1668;0002;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4138;0006;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1668;0001;12.05.2014;09:50:00;379710,6;5661021,29;Zulauf Große Dhünn 17;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1416;0003;15.04.2014;15:50:00;379087,89;5664390,59;Knochenmühle;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4138;0001;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1668;0003;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4013;0002;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1667;0001;13.05.2014;08:40:00;373881,03;5659471,38;Engerfeld (11);2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1416;0001;15.04.2014;16:00:00;378103,66;5663206,22;Dhünnsche Mühle;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1416;0006;15.04.2014;16:30:00;380443,57;5661900,45;Purder Bach;2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-1667;0004;13.05.2014;09:40:00;373335,71;5657290,6;Große Heide (14);2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-4136;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);2,6-Dichlorbenzamid (Metabolit von Diclobenil);< 0,05;µg/l
2014-0326;0004;04.02.2014;09:45:00;373335,71;5657290,6;Große Heide (14);;< 5;
2014-0326;0012;03.02.2014;08:25:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;;< 5;
2014-0326;0009;04.02.2014;11:00:00;380443,57;5661900,45;Purder Bach;;< 5;
2014-0326;0013;03.02.2014;10:40:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;;< 5;
2014-0326;0010;04.02.2014;11:30:00;378464,83;5663870,42;Staelsmühle;;< 5;
2014-4016;0006;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0011;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0010;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0007;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0008;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0013;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0012;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-0326;0011;03.02.2014;11:35:00;379710,6;5661021,29;Zulauf Große Dhünn 17;;< 5;
2014-0326;0001;04.02.2014;08:35:00;373881,03;5659471,38;Engerfeld (11);;< 5;
2014-0326;0003;04.02.2014;09:35:00;373158,43;5657311,86;Eichholz (13);;< 5;
2014-0326;0005;04.02.2014;10:45:00;381231,49;5661929,47;Boxberg;;< 5;
2014-0326;0002;04.02.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);;< 5;
2014-0326;0006;04.02.2014;11:15:00;378103,66;5663206,22;Dhünnsche Mühle;;< 5;
2014-4016;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0009;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;4-Acetamidoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-0326;0007;04.02.2014;11:40:00;379087,89;5664390,59;Knochenmühle;;< 5;
2014-0326;0008;04.02.2014;10:35:00;379828,79;5661338,53;Neumühle;;< 5;
2014-0326;0005;04.02.2014;10:45:00;381231,49;5661929,47;Boxberg;;< 5;
2014-0326;0012;03.02.2014;08:25:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;;< 5;
2014-0326;0003;04.02.2014;09:35:00;373158,43;5657311,86;Eichholz (13);;< 5;
2014-4016;0007;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-0326;0002;04.02.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);;< 5;
2014-4016;0013;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0010;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0008;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-0326;0008;04.02.2014;10:35:00;379828,79;5661338,53;Neumühle;;< 5;
2014-4016;0009;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0006;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0012;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-0326;0004;04.02.2014;09:45:00;373335,71;5657290,6;Große Heide (14);;< 5;
2014-0326;0006;04.02.2014;11:15:00;378103,66;5663206,22;Dhünnsche Mühle;;< 5;
2014-0326;0011;03.02.2014;11:35:00;379710,6;5661021,29;Zulauf Große Dhünn 17;;< 5;
2014-0326;0001;04.02.2014;08:35:00;373881,03;5659471,38;Engerfeld (11);;< 5;
2014-4016;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-0326;0013;03.02.2014;10:40:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;;< 5;
2014-4016;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-4016;0011;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;4-Formylaminoantipyrin (Metabolit von Metamizol);< 5;ng/l
2014-0326;0010;04.02.2014;11:30:00;378464,83;5663870,42;Staelsmühle;;< 5;
2014-0326;0007;04.02.2014;11:40:00;379087,89;5664390,59;Knochenmühle;;< 5;
2014-0326;0009;04.02.2014;11:00:00;380443,57;5661900,45;Purder Bach;;< 5;
2014-3848;0001;27.10.2014;08:50:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Acenaphthen;< 0,01;µg/l
2014-3848;0001;27.10.2014;08:50:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Acenaphthylen;< 0,01;µg/l
2014-4136;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);Alachlor;< 0,05;µg/l
2014-1416;0006;15.04.2014;16:30:00;380443,57;5661900,45;Purder Bach;Alachlor;< 0,05;µg/l
2014-4138;0001;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;Alachlor;< 0,05;µg/l
2014-4138;0006;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;Alachlor;< 0,05;µg/l
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);Alachlor;< 0,05;µg/l
2014-4013;0002;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Alachlor;< 0,05;µg/l
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);Alachlor;< 0,05;µg/l
2014-1668;0002;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Alachlor;< 0,05;µg/l
2014-4136;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);Alachlor;< 0,05;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);Alachlor;< 0,05;µg/l
2014-1667;0001;13.05.2014;08:40:00;373881,03;5659471,38;Engerfeld (11);Alachlor;< 0,05;µg/l
2014-1668;0001;12.05.2014;09:50:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Alachlor;< 0,05;µg/l
2014-1668;0003;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Alachlor;< 0,05;µg/l
2014-1667;0004;13.05.2014;09:40:00;373335,71;5657290,6;Große Heide (14);Alachlor;< 0,05;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;Alachlor;< 0,05;µg/l
2014-1416;0005;15.04.2014;16:20:00;381231,49;5661929,47;Boxberg;Alachlor;< 0,05;µg/l
2014-1416;0001;15.04.2014;16:00:00;378103,66;5663206,22;Dhünnsche Mühle;Alachlor;< 0,05;µg/l
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Alachlor;< 0,05;µg/l
2014-1416;0003;15.04.2014;15:50:00;379087,89;5664390,59;Knochenmühle;Alachlor;< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;Alachlor;< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;Alachlor;< 0,05;µg/l
2014-4138;0004;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;Alachlor;< 0,05;µg/l
2014-1416;0004;15.04.2014;16:15:00;379828,79;5661338,53;Neumühle;Alachlor;< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;Alachlor;< 0,05;µg/l
2014-4013;0001;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Alachlor;< 0,05;µg/l
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);Alachlor;< 0,05;µg/l
2014-4013;0001;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Aldicarb;< 0,05;µg/l
2014-1416;0001;15.04.2014;16:00:00;378103,66;5663206,22;Dhünnsche Mühle;Aldicarb;< 0,05;µg/l
2014-1667;0003;13.05.2014;09:25:00;373158,43;5657311,86;Eichholz (13);Aldicarb;< 0,05;µg/l
2014-1667;0004;13.05.2014;09:40:00;373335,71;5657290,6;Große Heide (14);Aldicarb;< 0,05;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);Aldicarb;< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;Aldicarb;< 0,05;µg/l
2014-1416;0003;15.04.2014;15:50:00;379087,89;5664390,59;Knochenmühle;Aldicarb;< 0,05;µg/l
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);Aldicarb;< 0,05;µg/l
2014-1668;0003;12.05.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Aldicarb;< 0,05;µg/l
2014-4136;0002;18.11.2014;09:20:00;373098,3;5657652,94;Breibacher Berg (12);Aldicarb;< 0,05;µg/l
2014-1667;0002;13.05.2014;09:10:00;373098,3;5657652,94;Breibacher Berg (12);Aldicarb;< 0,05;µg/l
2014-1667;0001;13.05.2014;08:40:00;373881,03;5659471,38;Engerfeld (11);Aldicarb;< 0,05;µg/l
2014-1668;0002;12.05.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Aldicarb;< 0,05;µg/l
2014-4138;0006;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;Aldicarb;< 0,05;µg/l
2014-4138;0001;18.11.2014;10:45:00;378103,66;5663206,22;Dhünnsche Mühle;Aldicarb;< 0,05;µg/l
2014-1416;0005;15.04.2014;16:20:00;381231,49;5661929,47;Boxberg;Aldicarb;< 0,05;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;Aldicarb;< 0,05;µg/l
2014-4138;0004;18.11.2014;10:15:00;379828,79;5661338,53;Neumühle;Aldicarb;< 0,05;µg/l
2014-1416;0006;15.04.2014;16:30:00;380443,57;5661900,45;Purder Bach;Aldicarb;< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;Aldicarb;< 0,05;µg/l
2014-4136;0003;18.11.2014;09:30:00;373158,43;5657311,86;Eichholz (13);Aldicarb;< 0,05;µg/l
2014-4013;0003;10.11.2014;10:25:00;381257,41;5658292,6;Kürtener Sülz vor Ültg. 22;Aldicarb;< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;Aldicarb;< 0,05;µg/l
