LIMS Auftrag;Probe;Probenahmedatum;Probenahmezeit;Gauss Hoch;Gauss Rechts;Entnahmestelle;Externe Bezeichnung;Anzeigewert;Einheit
2014-4136;0001;18.11.2014;08:55:00;373881,03;5659471,38;Engerfeld (11);Desisopropylatrazin (Metabolit von Atrazin);< 0,05;µg/l
2014-1416;0004;15.04.2014;16:15:00;379828,79;5661338,53;Neumühle;Desisopropylatrazin (Metabolit von Atrazin);< 0,05;µg/l
2014-4013;0002;10.11.2014;08:45:00;377392,46;5661995,83;Zulauf Kleine Dhünn 20;Desisopropylatrazin (Metabolit von Atrazin);< 0,05;µg/l
2014-1416;0006;15.04.2014;16:30:00;380443,57;5661900,45;Purder Bach;Desisopropylatrazin (Metabolit von Atrazin);< 0,05;µg/l
2014-4138;0003;18.11.2014;11:00:00;379087,89;5664390,59;Knochenmühle;Desisopropylatrazin (Metabolit von Atrazin);< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;Desisopropylatrazin (Metabolit von Atrazin);< 0,05;µg/l
2014-4138;0005;18.11.2014;10:25:00;381231,49;5661929,47;Boxberg;Desisopropylatrazin (Metabolit von Atrazin);< 0,05;µg/l
2014-4013;0001;10.11.2014;09:55:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Desisopropylatrazin (Metabolit von Atrazin);< 0,05;µg/l
2014-1668;0001;12.05.2014;09:50:00;379710,6;5661021,29;Zulauf Große Dhünn 17;Desmetryn;< 0,05;µg/l
2014-1416;0002;15.04.2014;15:35:00;378464,83;5663870,42;Staelsmühle;Desmetryn;< 0,05;µg/l
2014-1416;0005;15.04.2014;16:20:00;381231,49;5661929,47;Boxberg;Desmetryn;< 0,05;µg/l
2014-4138;0002;18.11.2014;10:55:00;378464,83;5663870,42;Staelsmühle;Desmetryn;< 0,05;µg/l
2014-4136;0004;18.11.2014;09:45:00;373335,71;5657290,6;Große Heide (14);Desmetryn;< 0,05;µg/l
2014-4138;0006;18.11.2014;10:35:00;380443,57;5661900,45;Purder Bach;Desmetryn;< 0,05;µg/l
