Datum;Temp.Mittel
01.01.2018;2.83
01.02.2018;3.009
01.03.2018;6.046
01.04.2018;10.267
01.05.2018;14.075
01.06.2018;17.15
01.07.2018;18.889
01.08.2018;18.092
01.09.2018;14.837
01.10.2018;10.883
01.11.2018;6.979
01.12.2018;3.671
